ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,Complain,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth
e4556745-0ace-4c5a-a9fd-79fa6c949084,1981,2n Cycle,Together,97620.38819999309,0,1,2020-08-21,29,0,91,177,276,402,160,78,8,0,1,1,1,0,1,2,1,14,6
bcf6a627-9636-400b-aae2-f5355933b3ce,1944,Basic,Together,80439.07620121227,0,0,2023-05-01,4,0,981,6,437,52,74,86,7,0,1,0,1,1,1,4,8,14,12
b185b9b4-e578-4c96-996a-9c18cca46a3d,2001,Basic,Married,129908.57776636512,0,0,2023-10-10,99,0,454,69,106,274,76,13,1,1,1,0,0,1,0,15,9,14,23
9dc41ca6-d5c8-40e8-8619-580b1af9e2ed,1990,Basic,Single,102217.1084266523,1,0,2022-10-20,141,0,597,126,657,312,49,86,2,0,0,1,0,1,0,17,9,14,1
a1edd443-18ff-4431-ad5c-16754040a1f6,1950,Basic,Widow,32810.81979140016,1,2,2020-02-22,39,1,509,159,419,280,10,18,1,0,0,1,1,1,1,16,0,7,3
9d00418f-1df0-45a8-a084-82f17f26e4f7,2004,2n Cycle,Single,19879.62463606018,0,1,2022-11-01,15,0,1206,247,610,213,94,53,7,0,1,1,0,1,1,10,0,2,9
97c4456b-37f4-4bbc-b788-6afea912bc78,2004,2n Cycle,Together,99938.69894888418,0,0,2021-11-04,119,1,385,202,428,30,155,92,5,1,1,1,1,1,1,16,2,10,6
52c7490e-da9a-48ed-a034-29d78ffa6136,1953,PhD,Widow,13711.583475827054,0,0,2020-06-27,29,0,404,147,374,336,69,19,5,1,0,1,1,1,0,15,13,1,23
5a4bc7c7-87ea-40ae-b801-fd0b6d70aaa2,1932,PhD,Together,92008.58137828486,1,1,2020-11-26,75,1,245,142,72,182,168,28,11,1,1,0,0,0,0,1,14,6,16
29d407a4-bd64-4a99-8434-eb2d08b8f510,1951,2n Cycle,Married,141632.23379949408,1,0,2022-01-27,116,1,741,198,948,22,15,23,14,1,1,0,0,0,0,3,2,7,19
af00fa6e-abc7-4daf-b9db-04e8fbe13e6e,1982,Graduation,Married,90566.38490262306,1,1,2020-01-04,32,1,660,153,997,31,67,81,8,0,1,0,1,0,0,6,0,0,5
4d428247-4ac8-4041-b11b-095f34369598,1931,2n Cycle,Married,64343.789668913065,1,1,2022-06-18,130,1,649,141,633,445,98,62,7,0,0,1,0,0,0,1,11,11,18
724ba8bf-0712-4716-bdef-8a0079b353e9,1959,Master,Single,100060.35058192945,0,1,2023-06-18,84,1,1494,164,29,73,47,73,3,0,0,0,1,0,1,5,6,9,4
1f56b363-c676-4e95-8b98-38e701a60bdc,1967,PhD,Single,74155.40466881232,0,1,2021-12-22,22,1,1446,20,187,9,183,56,14,1,1,0,1,0,0,16,3,8,9
96ae9437-0021-4c74-8c82-300dbfd90e99,1931,Graduation,Single,86386.3505042309,0,1,2021-03-09,27,0,900,81,363,483,63,7,11,0,0,0,1,1,1,6,9,14,8
5da79056-6b2d-4e5b-8edf-7d2ad0299c25,1993,2n Cycle,Together,141805.07322871353,0,2,2021-11-05,81,1,64,68,865,455,186,89,3,0,1,1,0,1,1,4,12,12,26
3a66d661-5996-4054-b92c-3fbc5ae8e27b,1989,Graduation,Single,64054.36929210839,1,0,2021-11-24,126,0,1036,130,799,53,89,61,8,1,1,1,1,0,0,4,1,14,12
75fc5294-2599-4246-a612-89079512d5ea,1950,Master,Divorced,144566.678935348,1,2,2022-06-29,92,1,212,86,450,51,189,28,0,1,0,0,1,1,1,19,9,10,18
fc32c6a5-26b2-43db-8c0b-bed58824625d,1962,Graduation,Together,136749.08987384892,0,0,2023-10-02,21,1,241,217,194,147,75,73,12,1,1,1,1,0,0,15,4,3,20
d7cf8831-ba80-47d6-bc29-5091b0cd9bc1,1987,Master,Married,37410.7588705015,0,2,2020-06-08,47,0,492,160,155,159,138,16,1,0,1,0,1,1,1,18,5,13,23
86e99e24-fa47-473f-9934-0dad7dd1c4bd,1951,Master,Together,19710.582122523163,1,1,2021-02-13,101,1,1236,177,171,369,100,65,1,0,0,0,1,1,0,8,8,11,5
70fc73b9-f0dd-4011-b50e-92bc1a4ed37a,1978,Graduation,Widow,24108.92019283973,0,0,2020-07-19,84,0,337,116,846,13,88,5,12,1,1,0,1,1,0,4,3,13,3
14454f59-16f7-40d9-a352-9167eb3dab05,1988,Master,Divorced,12551.055591216962,1,0,2021-06-22,6,0,172,195,40,177,17,57,12,0,1,0,1,1,1,7,1,3,23
0d39edf0-b31e-4d0e-856f-85b43f04f7f1,1971,2n Cycle,Married,23222.014505829975,0,2,2022-07-25,147,0,671,85,62,411,18,68,5,1,1,1,1,1,0,8,4,2,26
baf4ab7b-3b64-4e09-9b98-99cfb92c58b3,1989,Master,Divorced,105620.94827828996,0,2,2020-01-22,131,0,163,288,22,365,54,27,14,1,0,1,1,1,1,4,2,5,2
fd89d05e-4401-42ae-af3f-96a078a8fc0f,1944,Graduation,Widow,19966.41078443206,0,0,2021-11-19,1,1,464,80,359,499,101,61,3,0,1,1,1,0,0,9,1,0,2
8faa1593-ee9c-4781-ab56-7244124261cd,1991,PhD,Single,54656.588241126585,0,2,2022-04-12,58,1,994,151,74,52,117,40,12,1,0,1,1,0,0,1,11,5,3
